Number of Bins = 5000
BinCenter,BinContent
0.001,0
0.003,0
0.005,0
0.007,50
0.009,1237
0.011,306
0.013,167
0.015,226
0.017,286
0.019,375
0.021,406
0.023,504
0.025,563
0.027,640
0.029,761
0.031,952
0.033,1039
0.035,1112
0.037,1295
0.039,1476
0.041,1692
0.043,1840
0.045,1990
0.047,2281
0.049,2520
0.051,2857
0.053,3197
0.055,3470
0.057,3896
0.059,60317
0.061,4280
0.063,4618
0.065,5029
0.067,22102
0.069,9722
0.071,800
0.073,871
0.075,830
0.077,948
0.079,976
0.081,1045
0.083,1034
0.085,1083
0.087,1195
0.089,1240
0.091,1352
0.093,1346
0.095,1422
0.097,1567
0.099,1613
0.101,1709
0.103,1853
0.105,1918
0.107,1986
0.109,2069
0.111,2113
0.113,2161
0.115,2371
0.117,2504
0.119,2543
0.121,2637
0.123,2754
0.125,2758
0.127,2842
0.129,2859
0.131,2936
0.133,3056
0.135,3083
0.137,3264
0.139,3482
0.141,3467
0.143,3484
0.145,3583
0.147,3621
0.149,3818
0.151,3703
0.153,3829
0.155,3830
0.157,3986
0.159,4204
0.161,3959
0.163,4228
0.165,4097
0.167,4272
0.169,4322
0.171,4304
0.173,4249
0.175,4454
0.177,4395
0.179,4433
0.181,4431
0.183,4477
0.185,4385
0.187,4547
0.189,4575
0.191,4502
0.193,4635
0.195,4540
0.197,4521
0.199,4468
0.201,4572
0.203,4658
0.205,4433
0.207,4634
0.209,4573
0.211,4642
0.213,4551
0.215,4551
0.217,4655
0.219,4629
0.221,4638
0.223,4621
0.225,4634
0.227,4512
0.229,4544
0.231,4616
0.233,4652
0.235,4636
0.237,4751
0.239,4589
0.241,4573
0.243,4504
0.245,4613
0.247,4461
0.249,4606
0.251,4477
0.253,4339
0.255,4492
0.257,4446
0.259,4404
0.261,4439
0.263,4429
0.265,4402
0.267,4306
0.269,4340
0.271,4231
0.273,4328
0.275,4231
0.277,4203
0.279,4289
0.281,4308
0.283,4185
0.285,4051
0.287,3941
0.289,4111
0.291,4070
0.293,4146
0.295,4057
0.297,4121
0.299,4020
0.301,3961
0.303,3983
0.305,3960
0.307,3924
0.309,3981
0.311,3853
0.313,3997
0.315,3948
0.317,3694
0.319,3776
0.321,3866
0.323,3691
0.325,3589
0.327,3738
0.329,3667
0.331,3694
0.333,3673
0.335,3757
0.337,3528
0.339,3635
0.341,3643
0.343,3571
0.345,3520
0.347,3517
0.349,3454
0.351,3442
0.353,3532
0.355,3535
0.357,3535
0.359,3388
0.361,3314
0.363,3510
0.365,3377
0.367,3267
0.369,3275
0.371,3275
0.373,3273
0.375,3349
0.377,3232
0.379,3169
0.381,3206
0.383,3197
0.385,3191
0.387,3106
0.389,3184
0.391,3160
0.393,3192
0.395,3057
0.397,3122
0.399,3070
0.401,2964
0.403,3104
0.405,2913
0.407,3075
0.409,2890
0.411,2930
0.413,2975
0.415,2915
0.417,2914
0.419,2949
0.421,2874
0.423,2888
0.425,2888
0.427,2805
0.429,2860
0.431,2847
0.433,2790
0.435,2810
0.437,2875
0.439,2742
0.441,2779
0.443,2727
0.445,2659
0.447,2734
0.449,2708
0.451,2649
0.453,2684
0.455,2592
0.457,2592
0.459,2601
0.461,2535
0.463,2537
0.465,2541
0.467,2440
0.469,2525
0.471,2468
0.473,2474
0.475,2507
0.477,2528
0.479,2525
0.481,2467
0.483,2492
0.485,2371
0.487,2398
0.489,2448
0.491,2464
0.493,2350
0.495,2452
0.497,2379
0.499,2424
0.501,2339
0.503,2370
0.505,2287
0.507,2393
0.509,2220
0.511,4163
0.513,2301
0.515,2234
0.517,2247
0.519,2234
0.521,2252
0.523,2279
0.525,2182
0.527,2199
0.529,2200
0.531,2187
0.533,2257
0.535,2216
0.537,2117
0.539,2198
0.541,2215
0.543,2095
0.545,2075
0.547,2102
0.549,2130
0.551,2082
0.553,2000
0.555,2065
0.557,2130
0.559,2042
0.561,2012
0.563,1962
0.565,1970
0.567,2026
0.569,1992
0.571,1972
0.573,2015
0.575,1955
0.577,1943
0.579,1868
0.581,1927
0.583,1952
0.585,1920
0.587,1915
0.589,1899
0.591,1934
0.593,1829
0.595,1883
0.597,1810
0.599,1801
0.601,1788
0.603,1823
0.605,1793
0.607,1852
0.609,1782
0.611,1798
0.613,1801
0.615,1757
0.617,1793
0.619,1814
0.621,1687
0.623,1743
0.625,1713
0.627,1829
0.629,1762
0.631,1702
0.633,1650
0.635,1640
0.637,1634
0.639,1693
0.641,1664
0.643,1666
0.645,1649
0.647,1674
0.649,1649
0.651,1723
0.653,1654
0.655,1538
0.657,1619
0.659,1637
0.661,1564
0.663,1592
0.665,1558
0.667,1667
0.669,1621
0.671,1548
0.673,1521
0.675,1595
0.677,1526
0.679,1587
0.681,1594
0.683,1531
0.685,1476
0.687,1566
0.689,1522
0.691,1514
0.693,1463
0.695,1445
0.697,1561
0.699,1534
0.701,1547
0.703,1538
0.705,1488
0.707,1479
0.709,1487
0.711,1483
0.713,1509
0.715,1406
0.717,1459
0.719,1480
0.721,1369
0.723,1377
0.725,1409
0.727,1441
0.729,1407
0.731,1425
0.733,1429
0.735,1408
0.737,1367
0.739,1362
0.741,1355
0.743,1374
0.745,1320
0.747,1394
0.749,1354
0.751,1287
0.753,1367
0.755,1306
0.757,1381
0.759,1398
0.761,1330
0.763,1296
0.765,1379
0.767,1272
0.769,1354
0.771,1357
0.773,1248
