BinCenter,BinContent
Number of Bins = 5000
0.001,0
0.003,0
0.005,0
0.007,232
0.009,2859
0.011,1076
0.013,721
0.015,919
0.017,1122
0.019,1370
0.021,1624
0.023,2005
0.025,2210
0.027,2593
0.029,2869
0.031,3242
0.033,3358
0.035,3686
0.037,3711
0.039,3829
0.041,3950
0.043,4131
0.045,4011
0.047,4089
0.049,4017
0.051,4077
0.053,4062
0.055,4102
0.057,4019
0.059,16902
0.061,3879
0.063,3795
0.065,3646
0.067,6506
0.069,4015
0.071,2101
0.073,2062
0.075,2059
0.077,2201
0.079,2061
0.081,2025
0.083,2002
0.085,2079
0.087,2135
0.089,2164
0.091,2076
0.093,2073
0.095,1996
0.097,2096
0.099,2076
0.101,1984
0.103,1955
0.105,1976
0.107,1898
0.109,1941
0.111,1874
0.113,2026
0.115,1810
0.117,1859
0.119,1853
0.121,1748
0.123,1884
0.125,1798
0.127,1681
0.129,1700
0.131,1638
0.133,1686
0.135,1678
0.137,1657
0.139,1632
0.141,1632
0.143,1625
0.145,1568
0.147,1594
0.149,1551
0.151,1562
0.153,1503
0.155,1475
0.157,1428
0.159,1412
0.161,1445
0.163,1404
0.165,1420
0.167,1342
0.169,1369
0.171,1338
0.173,1279
0.175,1257
0.177,1303
0.179,1285
0.181,1305
0.183,1267
0.185,1236
0.187,1209
0.189,1179
0.191,1167
0.193,1143
0.195,1173
0.197,1101
0.199,1075
0.201,1068
0.203,1096
0.205,1133
0.207,1106
0.209,1051
0.211,1019
0.213,1087
0.215,1071
0.217,1030
0.219,952
0.221,990
0.223,1021
0.225,950
0.227,1027
0.229,920
0.231,955
0.233,847
0.235,905
0.237,879
0.239,893
0.241,911
0.243,892
0.245,890
0.247,897
0.249,854
0.251,866
0.253,840
0.255,797
0.257,819
0.259,852
0.261,851
0.263,825
0.265,782
0.267,841
0.269,793
0.271,810
0.273,776
0.275,771
0.277,718
0.279,757
0.281,748
0.283,753
0.285,673
0.287,722
0.289,702
0.291,661
0.293,734
0.295,658
0.297,710
0.299,691
0.301,696
0.303,658
0.305,652
0.307,655
0.309,684
0.311,646
0.313,581
0.315,650
0.317,626
0.319,653
0.321,606
0.323,582
0.325,635
0.327,599
0.329,641
0.331,594
0.333,628
0.335,626
0.337,592
0.339,597
0.341,599
0.343,587
0.345,525
0.347,566
0.349,539
0.351,513
0.353,586
0.355,522
0.357,546
0.359,549
0.361,519
0.363,547
0.365,492
0.367,504
0.369,511
0.371,486
0.373,473
0.375,515
0.377,511
0.379,515
0.381,489
0.383,467
0.385,425
0.387,482
0.389,490
0.391,479
0.393,458
0.395,468
0.397,410
0.399,465
0.401,422
0.403,409
0.405,452
0.407,450
0.409,442
0.411,422
0.413,411
0.415,437
0.417,441
0.419,412
0.421,405
0.423,378
0.425,424
0.427,442
0.429,412
0.431,403
0.433,374
0.435,445
0.437,400
0.439,407
0.441,391
0.443,386
0.445,402
0.447,387
0.449,368
0.451,417
0.453,369
0.455,394
0.457,343
0.459,353
0.461,346
0.463,382
0.465,347
0.467,383
0.469,361
0.471,364
0.473,316
0.475,356
0.477,379
0.479,341
0.481,349
0.483,326
0.485,333
0.487,328
0.489,353
0.491,331
0.493,343
0.495,323
0.497,356
0.499,347
0.501,336
0.503,322
0.505,330
0.507,317
0.509,324
0.511,307
0.513,297
0.515,299
0.517,309
0.519,308
0.521,313
0.523,290
0.525,287
0.527,272
0.529,262
0.531,285
0.533,279
0.535,297
0.537,292
0.539,284
0.541,284
0.543,251
0.545,291
0.547,298
0.549,308
0.551,251
0.553,264
0.555,273
0.557,257
0.559,252
0.561,273
0.563,255
0.565,228
0.567,242
0.569,256
0.571,267
0.573,255
0.575,252
0.577,253
0.579,261
0.581,237
0.583,273
0.585,261
0.587,250
0.589,252
0.591,278
0.593,225
0.595,255
0.597,248
0.599,233
0.601,258
0.603,252
0.605,232
0.607,240
0.609,215
0.611,224
0.613,217
0.615,233
0.617,223
0.619,248
0.621,217
0.623,229
0.625,205
0.627,245
0.629,207
0.631,223
0.633,241
0.635,198
0.637,203
0.639,194
0.641,199
0.643,238
0.645,200
0.647,226
0.649,202
0.651,216
0.653,208
0.655,198
0.657,194
0.659,202
0.661,207
0.663,194
0.665,188
0.667,180
0.669,177
0.671,186
0.673,200
0.675,205
0.677,193
0.679,190
0.681,200
0.683,203
0.685,178
0.687,188
0.689,215
0.691,191
0.693,197
0.695,191
0.697,188
0.699,189
0.701,173
0.703,175
0.705,160
0.707,180
0.709,165
0.711,189
0.713,190
0.715,170
0.717,155
0.719,181
0.721,182
0.723,158
0.725,187
0.727,163
0.729,168
0.731,153
0.733,175
0.735,165
0.737,168
0.739,165
0.741,175
0.743,171
0.745,162
0.747,159
0.749,149
0.751,150
0.753,170
0.755,162
0.757,160
0.759,168
0.761,145
0.763,168
0.765,147
0.767,177
0.769,172
0.771,138
0.773,170
0.775,146
0.777,135
0.779,122
0.781,147
0.783,139
0.785,159
0.787,155
0.789,148
0.791,134
0.793,129
0.795,164
0.797,119
0.799,140
0.801,179
0.803,147
0.805,133
0.807,141
0.809,149
0.811,151
0.813,146
0.815,163
0.817,162
0.819,154
0.821,118
0.823,131
0.825,120
0.827,140
0.829,123
0.831,125
0.833,139
0.835,142
0.837,133
0.839,142
0.841,137
0.843,133
0.845,124
0.847,131
0.849,146
0.851,126
0.853,123
0.855,106
0.857,124
0.859,122
0.861,127
0.863,131
0.865,144
0.867,124
0.869,130
0.871,110
0.873,134
0.875,113
0.877,138
0.879,136
0.881,123
0.883,146
0.885,116
0.887,138
0.889,118
0.891,103
0.893,117
0.895,106
0.897,139
0.899,116
0.901,108
0.903,101
0.905,132
0.907,131
0.909,125
0.911,110
0.913,101
0.915,110
0.917,104
0.919,104
