BinCenter,BinContent
0.0005,0
0.0015,0
0.0025,0
0.0035,0
0.0045,0
0.0055,0
0.0065,0
0.0075,0
0.0085,0
0.0095,0
0.0105,0
0.0115,0
0.0125,0
0.0135,0
0.0145,1
0.0155,0
0.0165,1
0.0175,1
0.0185,2
0.0195,2
0.0205,3
0.0215,3
0.0225,4
0.0235,17
0.0245,24
0.0255,19
0.0265,38
0.0275,52
0.0285,90
0.0295,105
0.0305,112
0.0315,150
0.0325,149
0.0335,170
0.0345,180
0.0355,180
0.0365,232
0.0375,237
0.0385,246
0.0395,317
0.0405,322
0.0415,299
0.0425,311
0.0435,306
0.0445,327
0.0455,362
0.0465,329
0.0475,321
0.0485,371
0.0495,367
0.0505,326
0.0515,339
0.0525,366
0.0535,395
0.0545,366
0.0555,402
0.0565,368
0.0575,413
0.0585,384
0.0595,388
0.0605,415
0.0615,398
0.0625,362
0.0635,396
0.0645,344
0.0655,392
0.0665,350
0.0675,369
0.0685,363
0.0695,336
0.0705,340
0.0715,323
0.0725,343
0.0735,356
0.0745,364
0.0755,337
0.0765,319
0.0775,307
0.0785,350
0.0795,291
0.0805,330
0.0815,291
0.0825,324
0.0835,306
0.0845,305
0.0855,328
0.0865,286
0.0875,277
0.0885,286
0.0895,306
0.0905,264
0.0915,294
0.0925,284
0.0935,308
0.0945,253
0.0955,258
0.0965,259
0.0975,260
0.0985,251
0.0995,247
0.1005,267
0.1015,274
0.1025,258
0.1035,251
0.1045,219
0.1055,220
0.1065,218
0.1075,216
0.1085,240
0.1095,237
0.1105,233
0.1115,208
0.1125,223
0.1135,233
0.1145,232
0.1155,232
0.1165,209
0.1175,195
0.1185,200
0.1195,210
0.1205,206
0.1215,207
0.1225,194
0.1235,165
0.1245,209
0.1255,178
0.1265,192
0.1275,186
0.1285,175
0.1295,193
0.1305,174
0.1315,190
0.1325,162
0.1335,171
0.1345,179
0.1355,187
0.1365,182
0.1375,188
0.1385,187
0.1395,212
0.1405,178
0.1415,145
0.1425,141
0.1435,163
0.1445,165
0.1455,175
0.1465,167
0.1475,151
0.1485,163
0.1495,148
0.1505,152
0.1515,149
0.1525,145
0.1535,139
0.1545,167
0.1555,151
0.1565,149
0.1575,150
0.1585,130
0.1595,142
0.1605,180
0.1615,157
0.1625,156
0.1635,147
0.1645,129
0.1655,114
0.1665,131
0.1675,143
0.1685,123
0.1695,119
0.1705,106
0.1715,138
0.1725,144
0.1735,142
0.1745,132
0.1755,115
0.1765,122
0.1775,146
0.1785,134
0.1795,113
0.1805,108
0.1815,133
0.1825,120
0.1835,112
0.1845,104
0.1855,103
0.1865,124
0.1875,120
0.1885,120
0.1895,120
0.1905,99
0.1915,117
0.1925,96
0.1935,125
0.1945,120
0.1955,133
0.1965,98
0.1975,111
0.1985,113
0.1995,120
0.2005,107
0.2015,93
0.2025,118
0.2035,102
0.2045,117
0.2055,114
0.2065,110
0.2075,109
0.2085,115
0.2095,92
0.2105,110
0.2115,108
0.2125,100
0.2135,91
0.2145,85
0.2155,95
0.2165,92
0.2175,87
0.2185,85
0.2195,87
0.2205,74
0.2215,110
0.2225,85
0.2235,96
0.2245,85
0.2255,94
0.2265,93
0.2275,91
0.2285,89
0.2295,85
0.2305,86
0.2315,62
0.2325,94
0.2335,88
0.2345,82
0.2355,79
0.2365,79
0.2375,77
0.2385,86
0.2395,78
0.2405,77
0.2415,68
0.2425,82
0.2435,90
0.2445,88
0.2455,74
0.2465,85
0.2475,77
0.2485,75
0.2495,62
0.2505,73
0.2515,79
0.2525,78
0.2535,92
0.2545,81
0.2555,92
0.2565,83
0.2575,83
0.2585,91
0.2595,67
0.2605,68
0.2615,83
0.2625,72
0.2635,63
0.2645,60
0.2655,73
0.2665,84
0.2675,72
0.2685,73
0.2695,69
0.2705,69
0.2715,83
0.2725,69
0.2735,73
0.2745,70
0.2755,74
0.2765,66
0.2775,55
0.2785,68
0.2795,60
0.2805,57
0.2815,66
0.2825,56
0.2835,67
0.2845,58
0.2855,63
0.2865,54
0.2875,55
0.2885,64
0.2895,73
0.2905,70
0.2915,69
0.2925,42
0.2935,69
0.2945,63
0.2955,56
0.2965,69
0.2975,55
0.2985,64
0.2995,69
0.3005,54
0.3015,62
0.3025,48
0.3035,68
0.3045,69
0.3055,67
0.3065,42
0.3075,68
0.3085,59
0.3095,54
0.3105,41
0.3115,55
0.3125,60
0.3135,68
0.3145,54
0.3155,56
0.3165,52
0.3175,57
0.3185,47
0.3195,58
0.3205,47
0.3215,50
0.3225,55
0.3235,44
0.3245,63
0.3255,61
0.3265,63
0.3275,53
0.3285,57
0.3295,51
0.3305,57
0.3315,55
0.3325,54
0.3335,52
0.3345,45
0.3355,45
0.3365,35
0.3375,45
0.3385,55
0.3395,64
0.3405,48
0.3415,50
0.3425,50
0.3435,40
0.3445,36
0.3455,49
0.3465,49
0.3475,38
0.3485,44
0.3495,42
0.3505,66
0.3515,37
0.3525,56
0.3535,52
0.3545,44
0.3555,51
0.3565,39
0.3575,44
0.3585,42
0.3595,52
0.3605,47
0.3615,42
0.3625,52
0.3635,43
0.3645,46
0.3655,46
0.3665,39
0.3675,35
0.3685,38
0.3695,42
0.3705,35
0.3715,50
0.3725,41
0.3735,31
0.3745,40
0.3755,36
0.3765,40
0.3775,37
0.3785,26
0.3795,51
0.3805,46
0.3815,38
0.3825,35
0.3835,42
0.3845,39
0.3855,29
0.3865,40
0.3875,35
0.3885,45
0.3895,43
