Count, Bin Midpoint, error (1 stddev)
0, -0.0025, 0
0, 0.0025, 0
0, 0.0075, 0
0, 0.0125, 0
0, 0.0175, 0
0, 0.0225, 0
0, 0.0275, 0
0, 0.0325, 0
0, 0.0375, 0
0, 0.0425, 0
0, 0.0475, 0
0, 0.0525, 0
0, 0.0575, 0
0, 0.0625, 0
0, 0.0675, 0
0, 0.0725, 0
0, 0.0775, 0
0, 0.0825, 0
0, 0.0875, 0
18883, 0.0925, 137.415
64831, 0.0975, 254.619
60913, 0.1025, 246.806
57492, 0.1075, 239.775
54675, 0.1125, 233.827
51741, 0.1175, 227.466
49147, 0.1225, 221.691
46719, 0.1275, 216.146
44367, 0.1325, 210.635
42120, 0.1375, 205.232
40106, 0.1425, 200.265
38727, 0.1475, 196.792
36822, 0.1525, 191.891
35195, 0.1575, 187.603
33636, 0.1625, 183.401
32689, 0.1675, 180.801
31496, 0.1725, 177.471
30071, 0.1775, 173.41
29071, 0.1825, 170.502
27914, 0.1875, 167.075
26747, 0.1925, 163.545
25953, 0.1975, 161.099
25261, 0.2025, 158.937
24372, 0.2075, 156.115
23522, 0.2125, 153.369
22931, 0.2175, 151.43
22259, 0.2225, 149.195
21221, 0.2275, 145.674
20804, 0.2325, 144.236
20071, 0.2375, 141.672
19795, 0.2425, 140.695
18753, 0.2475, 136.942
18364, 0.2525, 135.514
18005, 0.2575, 134.183
17428, 0.2625, 132.015
16770, 0.2675, 129.499
16532, 0.2725, 128.577
15911, 0.2775, 126.139
15571, 0.2825, 124.784
15268, 0.2875, 123.564
14847, 0.2925, 121.848
14587, 0.2975, 120.777
13843, 0.3025, 117.656
14055, 0.3075, 118.554
13474, 0.3125, 116.078
13172, 0.3175, 114.769
12915, 0.3225, 113.644
12295, 0.3275, 110.883
12153, 0.3325, 110.241
11894, 0.3375, 109.06
11578, 0.3425, 107.601
11509, 0.3475, 107.28
11200, 0.3525, 105.83
10815, 0.3575, 103.995
10675, 0.3625, 103.32
10438, 0.3675, 102.167
10232, 0.3725, 101.153
10092, 0.3775, 100.459
9719, 0.3825, 98.585
9518, 0.3875, 97.5602
9675, 0.3925, 98.3616
9183, 0.3975, 95.828
9083, 0.4025, 95.3048
8833, 0.4075, 93.984
8800, 0.4125, 93.8083
8646, 0.4175, 92.9839
8420, 0.4225, 91.7606
8289, 0.4275, 91.0439
7896, 0.4325, 88.8594
7833, 0.4375, 88.5042
7857, 0.4425, 88.6397
7603, 0.4475, 87.1952
7449, 0.4525, 86.3076
7358, 0.4575, 85.7788
7017, 0.4625, 83.7675
6976, 0.4675, 83.5225
6957, 0.4725, 83.4086
6722, 0.4775, 81.9878
6778, 0.4825, 82.3286
6435, 0.4875, 80.2185
6444, 0.4925, 80.2745
f6293, 0.4975, 79.3284
f6414, 0.5025, 80.0875
f6107, 0.5075, 78.1473
f7602, 0.5125, 87.1894
f6017, 0.5175, 77.5693
f5955, 0.5225, 77.1686
f5696, 0.5275, 75.4718
f5653, 0.5325, 75.1864
f5490, 0.5375, 74.0945
f5350, 0.5425, 73.1437
f5168, 0.5475, 71.8888
f5215, 0.5525, 72.215
f5293, 0.5575, 72.753
f5062, 0.5625, 71.1477
f5024, 0.5675, 70.8802
f4898, 0.5725, 69.9857
f4848, 0.5775, 69.6276
f4838, 0.5825, 69.5557
f4758, 0.5875, 68.9783
f4669, 0.5925, 68.3301
f4520, 0.5975, 67.2309
f4435, 0.6025, 66.5958
f4449, 0.6075, 66.7008
f4281, 0.6125, 65.4294
f4243, 0.6175, 65.1383
f4219, 0.6225, 64.9538
f4119, 0.6275, 64.1794
f4149, 0.6325, 64.4127
f4054, 0.6375, 63.671
f3980, 0.6425, 63.0872
f4015, 0.6475, 63.364
f3875, 0.6525, 62.2495
f3772, 0.6575, 61.4166
f3692, 0.6625, 60.7618
f3721, 0.6675, 61
f3659, 0.6725, 60.4897
f3633, 0.6775, 60.2744
f3506, 0.6825, 59.2115
f3574, 0.6875, 59.7829
f3572, 0.6925, 59.7662
f3399, 0.6975, 58.3009
f3393, 0.7025, 58.2495
f3313, 0.7075, 57.5587
f3244, 0.7125, 56.9561
f3321, 0.7175, 57.6281
f3162, 0.7225, 56.2317
f3090, 0.7275, 55.5878
f3113, 0.7325, 55.7943
f2954, 0.7375, 54.3507
f2999, 0.7425, 54.7631
f2865, 0.7475, 53.5257
f2885, 0.7525, 53.7122
f2952, 0.7575, 54.3323
f2918, 0.7625, 54.0185
f2733, 0.7675, 52.2781
f2832, 0.7725, 53.2165
f2705, 0.7775, 52.0096
f2744, 0.7825, 52.3832
f2713, 0.7875, 52.0865
f2660, 0.7925, 51.5752
f2620, 0.7975, 51.1859
f2607, 0.8025, 51.0588
f2562, 0.8075, 50.6162
f2477, 0.8125, 49.7695
f2472, 0.8175, 49.7192
f2552, 0.8225, 50.5173
f2486, 0.8275, 49.8598
f2484, 0.8325, 49.8397
f2354, 0.8375, 48.518
f2300, 0.8425, 47.9583
f2361, 0.8475, 48.5901
f2364, 0.8525, 48.621
f2294, 0.8575, 47.8957
f2211, 0.8625, 47.0213
f2199, 0.8675, 46.8935
f2148, 0.8725, 46.3465
f2202, 0.8775, 46.9255
f2227, 0.8825, 47.1911
f2123, 0.8875, 46.076
f2059, 0.8925, 45.3762
f2100, 0.8975, 45.8258
f1931, 0.9025, 43.9431
f1971, 0.9075, 44.3959
f1947, 0.9125, 44.1248
f2032, 0.9175, 45.0777
f1950, 0.9225, 44.1588
f1955, 0.9275, 44.2154
f1897, 0.9325, 43.5546
f1900, 0.9375, 43.589
f1803, 0.9425, 42.4617
f1837, 0.9475, 42.8602
f1829, 0.9525, 42.7668
f1722, 0.9575, 41.497
f1831, 0.9625, 42.7902
f1746, 0.9675, 41.7852
f1709, 0.9725, 41.3401
f1706, 0.9775, 41.3038
f1709, 0.9825, 41.3401
f1698, 0.9875, 41.2068
f1666, 0.9925, 40.8167
f1545, 0.9975, 39.3065
f160753, 1.0025, 400.94
