Count, Bin Midpoint, error (1 stddev)
0, -0.0025, 0
0, 0.0025, 0
0, 0.0075, 0
0, 0.0125, 0
0, 0.0175, 0
0, 0.0225, 0
0, 0.0275, 0
0, 0.0325, 0
0, 0.0375, 0
0, 0.0425, 0
0, 0.0475, 0
0, 0.0525, 0
0, 0.0575, 0
0, 0.0625, 0
0, 0.0675, 0
0, 0.0725, 0
0, 0.0775, 0
0, 0.0825, 0
0, 0.0875, 0
3147, 0.0925, 56.0981
10691, 0.0975, 103.397
10300, 0.1025, 101.489
9536, 0.1075, 97.6524
8949, 0.1125, 94.5992
8635, 0.1175, 92.9247
8114, 0.1225, 90.0777
7854, 0.1275, 88.6228
7422, 0.1325, 86.151
7180, 0.1375, 84.7349
6652, 0.1425, 81.5598
6617, 0.1475, 81.3449
6067, 0.1525, 77.8909
5849, 0.1575, 76.4788
5729, 0.1625, 75.6902
5263, 0.1675, 72.5465
5276, 0.1725, 72.6361
5037, 0.1775, 70.9718
4889, 0.1825, 69.9214
4672, 0.1875, 68.352
4374, 0.1925, 66.1362
4356, 0.1975, 66
4222, 0.2025, 64.9769
4102, 0.2075, 64.0469
3912, 0.2125, 62.546
3786, 0.2175, 61.5305
3713, 0.2225, 60.9344
3487, 0.2275, 59.0508
3510, 0.2325, 59.2453
3333, 0.2375, 57.7321
3332, 0.2425, 57.7235
3060, 0.2475, 55.3173
3092, 0.2525, 55.6058
3007, 0.2575, 54.8361
2911, 0.2625, 53.9537
2869, 0.2675, 53.563
2817, 0.2725, 53.0754
2703, 0.2775, 51.9904
2560, 0.2825, 50.5964
2624, 0.2875, 51.225
2410, 0.2925, 49.0918
2434, 0.2975, 49.3356
2300, 0.3025, 47.9583
2370, 0.3075, 48.6826
2292, 0.3125, 47.8748
2224, 0.3175, 47.1593
2137, 0.3225, 46.2277
2043, 0.3275, 45.1996
2038, 0.3325, 45.1442
1974, 0.3375, 44.4297
1937, 0.3425, 44.0114
1922, 0.3475, 43.8406
1893, 0.3525, 43.5086
1792, 0.3575, 42.332
1785, 0.3625, 42.2493
1797, 0.3675, 42.391
1725, 0.3725, 41.5331
1711, 0.3775, 41.3642
1616, 0.3825, 40.1995
1566, 0.3875, 39.5727
1589, 0.3925, 39.8623
1523, 0.3975, 39.0256
1526, 0.4025, 39.064
1464, 0.4075, 38.2623
1461, 0.4125, 38.223
1416, 0.4175, 37.6298
1446, 0.4225, 38.0263
1341, 0.4275, 36.6197
1262, 0.4325, 35.5246
1317, 0.4375, 36.2905
1296, 0.4425, 36
1270, 0.4475, 35.6371
1222, 0.4525, 34.9571
1192, 0.4575, 34.5254
1143, 0.4625, 33.8083
1206, 0.4675, 34.7275
1183, 0.4725, 34.3948
1064, 0.4775, 32.619
1162, 0.4825, 34.0881
1071, 0.4875, 32.7261
1116, 0.4925, 33.4066
  1103, 0.4975, 33.2114
  1061, 0.5025, 32.573
  1063, 0.5075, 32.6037
  1302, 0.5125, 36.0832
  938, 0.5175, 30.6268
  991, 0.5225, 31.4802
  921, 0.5275, 30.348
  945, 0.5325, 30.7409
  904, 0.5375, 30.0666
  906, 0.5425, 30.0998
  846, 0.5475, 29.0861
  883, 0.5525, 29.7153
  890, 0.5575, 29.8329
  864, 0.5625, 29.3939
  855, 0.5675, 29.2404
  813, 0.5725, 28.5132
  844, 0.5775, 29.0517
  777, 0.5825, 27.8747
  826, 0.5875, 28.7402
  762, 0.5925, 27.6043
  776, 0.5975, 27.8568
  736, 0.6025, 27.1293
  754, 0.6075, 27.4591
  701, 0.6125, 26.4764
  709, 0.6175, 26.6271
  783, 0.6225, 27.9821
  664, 0.6275, 25.7682
  667, 0.6325, 25.8263
  671, 0.6375, 25.9037
  666, 0.6425, 25.807
  670, 0.6475, 25.8844
  678, 0.6525, 26.0384
  649, 0.6575, 25.4755
  585, 0.6625, 24.1868
  604, 0.6675, 24.5764
  597, 0.6725, 24.4336
  600, 0.6775, 24.4949
  617, 0.6825, 24.8395
  619, 0.6875, 24.8797
  621, 0.6925, 24.9199
  551, 0.6975, 23.4734
  584, 0.7025, 24.1661
  536, 0.7075, 23.1517
  563, 0.7125, 23.7276
  575, 0.7175, 23.9792
  526, 0.7225, 22.9347
  498, 0.7275, 22.3159
  510, 0.7325, 22.5832
  509, 0.7375, 22.561
  512, 0.7425, 22.6274
  507, 0.7475, 22.5167
  484, 0.7525, 22
  472, 0.7575, 21.7256
  461, 0.7625, 21.4709
  434, 0.7675, 20.8327
  520, 0.7725, 22.8035
  428, 0.7775, 20.6882
  433, 0.7825, 20.8087
  449, 0.7875, 21.1896
  433, 0.7925, 20.8087
  408, 0.7975, 20.199
  445, 0.8025, 21.095
  420, 0.8075, 20.4939
  401, 0.8125, 20.025
  402, 0.8175, 20.0499
  439, 0.8225, 20.9523
  422, 0.8275, 20.5426
  395, 0.8325, 19.8746
  347, 0.8375, 18.6279
  387, 0.8425, 19.6723
  405, 0.8475, 20.1246
  411, 0.8525, 20.2731
  380, 0.8575, 19.4936
  409, 0.8625, 20.2237
  363, 0.8675, 19.0526
  324, 0.8725, 18
  373, 0.8775, 19.3132
  371, 0.8825, 19.2614
  360, 0.8875, 18.9737
  320, 0.8925, 17.8885
  340, 0.8975, 18.4391
  314, 0.9025, 17.72
  311, 0.9075, 17.6352
  370, 0.9125, 19.2354
  368, 0.9175, 19.1833
  326, 0.9225, 18.0555
  319, 0.9275, 17.8606
  298, 0.9325, 17.2627
  304, 0.9375, 17.4356
  290, 0.9425, 17.0294
  315, 0.9475, 17.7482
  300, 0.9525, 17.3205
  266, 0.9575, 16.3095
  321, 0.9625, 17.9165
  287, 0.9675, 16.9411
  301, 0.9725, 17.3494
  300, 0.9775, 17.3205
  289, 0.9825, 17
  271, 0.9875, 16.4621
  281, 0.9925, 16.7631
  261, 0.9975, 16.1555
  26964, 1.0025, 164.207
