################################################################################
### Normalized dose (MeV) per detector over a range of monoenergetic beams.
################################################################################
Run_No E_init E_tot Detector_0 Detector_1 Detector_2 Detector_3 Detector_4 Detector_5 
0 0.01 0 0 0 0 0 0 0 
1 0.02 0 0 0 0 0 0 0 
2 0.03 0.00097444 0.00097444 0 0 0 0 0 
3 0.04 0.0241815 0.0221085 0.00207293 0 0 0 0 
4 0.05 0.0023216 0.0023216 0 0 0 0 0 
5 0.06 0.0713787 0.0512105 0.0201683 0 0 0 0 
6 0.07 0.106824 0.0340532 0.0727709 0 0 0 0 
7 0.08 0.0663005 0.0460779 0.0202226 0 0 0 0 
8 0.09 0.0906847 0.0133583 0.0773264 0 0 0 0 
9 0.1 0.109175 0.0691049 0.0400697 0 0 0 0 
10 0.11 0.369075 0.248494 0.120581 0 0 0 0 
11 0.12 0.200468 0.1153 0.0851679 0 0 0 0 
12 0.13 0.233063 0.0658149 0.167248 0 0 0 0 
13 0.14 0.390053 0.193304 0.196748 0 0 0 0 
14 0.15 0.484788 0.273802 0.210986 0 0 0 0 
15 0.16 0.587857 0.320454 0.267403 0 0 0 0 
16 0.17 0.479206 0.294623 0.184583 0 0 0 0 
17 0.18 0.574413 0.209156 0.365257 0 0 0 0 
18 0.19 0.802277 0.386835 0.372277 0.0431648 0 0 0 
19 0.2 0.740837 0.324935 0.415902 0 0 0 0 
20 0.21 0.9194 0.390773 0.528627 0 0 0 0 
21 0.22 1.03965 0.465674 0.573978 0 0 0 0 
22 0.23 1.54532 0.600111 0.945213 0 0 0 0 
23 0.24 0.766125 0.363746 0.394863 0.00751652 0 0 0 
24 0.25 1.16975 0.427603 0.742151 0 0 0 0 
25 0.26 1.91251 0.848257 1.06425 0 0 0 0 
26 0.27 1.67617 0.907741 0.752773 0 0.0156586 0 0 
27 0.28 1.72398 0.782932 0.925977 0.0150718 0 0 0 
28 0.29 2.41533 0.872644 1.14308 0.38781 0.011802 0 0 
29 0.3 2.20123 0.959226 1.04977 0.192227 0 0 0 
30 0.31 2.79619 1.47897 1.31722 0 0 0 0 
31 0.32 2.84534 1.31418 1.40675 0.124405 0 0 0 
32 0.33 3.1589 1.2855 1.80725 0.0661458 0 0 0 
33 0.34 3.4471 1.63725 1.74977 0.0600824 0 0 0 
34 0.35 3.25576 1.73813 1.51763 0 0 0 0 
35 0.36 3.95122 1.42607 2.02134 0.361905 0.14191 0 0 
36 0.37 4.65249 1.92112 2.07098 0.250672 0.0868909 0.32283 0 
37 0.38 4.85404 2.11608 2.41667 0.144233 0.177066 0 0 
38 0.39 4.36625 1.42271 1.85603 0.577422 0.510083 0 0 
39 0.4 5.09948 2.71734 2.25489 0.127245 0 0 0 
40 0.41 5.14558 2.28098 2.32669 0.519757 0.0181498 0 0 
41 0.42 5.69696 2.39072 2.29692 0.889986 0.119331 0 0 
42 0.43 6.6003 2.19172 3.02623 0.657095 0.725253 0 0 
43 0.44 6.72506 2.68686 3.35365 0.202208 0.0661058 0.416239 0 
44 0.45 5.67167 1.94593 2.83624 0.451722 0.437771 0 0 
45 0.46 6.37086 3.41706 2.29924 0.200867 0.315456 0.13824 0 
46 0.47 6.24606 2.49913 3.25092 0.49061 0.00540231 0 0 
47 0.48 6.27472 3.10716 2.78125 0.381201 0.00511321 0 0 
48 0.49 7.37804 2.92767 4.0086 0.352861 0.0889147 0 0 
49 0.5 9.38902 3.76778 4.19036 0.999251 0.400807 0.0308284 0 
50 0.51 8.87244 3.05527 4.07714 0.855739 0.386764 0.497525 0 
51 0.52 9.40519 3.14801 4.708 0.567303 0.351043 0.63083 0 
52 0.53 10.0577 4.54751 3.69786 1.23327 0.230791 0.206721 0.141553 
53 0.54 9.61684 3.21215 4.57082 0.708049 0.759572 0.241142 0.125106 
54 0.55 11.4412 4.45043 4.05341 1.17139 0.455494 1.31046 0 
55 0.56 11.5722 3.79836 5.31757 1.17394 0.744096 0.538232 0 
56 0.57 12.2902 4.64897 5.08365 1.86427 0.0433521 0.650001 0 
57 0.58 13.5403 4.63791 4.81188 1.47623 1.16741 1.24177 0.205074 
58 0.59 12.6346 4.67331 5.07062 1.68717 0.233291 0.970183 0 
59 0.6 12.8913 5.07895 5.7426 0.867271 0.471783 0.494134 0.236516 
60 0.61 13.7554 5.45591 5.88747 0.622959 0.874462 0.914583 0 
61 0.62 15.0201 5.19754 5.62991 1.2315 1.15888 1.80222 0 
62 0.63 17.8427 5.30536 7.70442 1.10721 0.985336 2.74035 0 
63 0.64 16.5857 6.4063 7.105 1.7268 0.472513 0.645379 0.229675 
64 0.65 14.6987 5.70643 5.23455 1.50062 1.10227 1.15484 0 
65 0.66 17.7435 6.03171 7.68083 1.52544 0.753531 1.752 0 
66 0.67 16.7044 6.43741 7.02476 2.01855 0.38308 0.840569 0 
67 0.68 18.8401 6.81329 8.12971 1.86017 0.923407 1.11348 0 
68 0.69 19.0368 7.4295 8.23562 2.4203 0.213452 0.591832 0.146099 
69 0.7 18.6201 7.25817 7.16046 1.87555 1.40174 0.924162 0 
70 0.71 21.6682 7.79416 8.39847 2.09955 1.30541 1.94189 0.128752 
71 0.72 21.2368 5.59759 8.62986 2.34322 1.29621 2.72335 0.64659 
72 0.73 18.8161 7.49693 7.57455 1.66876 0.620951 0.941393 0.513492 
73 0.74 22.182 8.14518 8.19465 2.57726 1.11198 1.81733 0.335567 
74 0.75 23.1025 8.36155 10.0775 2.12649 0.927583 1.07591 0.533489 
75 0.76 26.7362 8.64577 9.40728 2.66088 2.13687 2.55794 1.32748 
76 0.77 28.0152 8.14443 10.4007 2.78177 1.52598 4.70189 0.460493 
77 0.78 27.4075 8.89236 9.5214 3.26036 2.62967 2.3397 0.76405 
78 0.79 27.1329 8.73583 10.5317 2.82096 2.48746 1.8293 0.727605 
79 0.8 27.4904 9.72027 9.55588 2.71823 2.35916 2.67575 0.461109 
80 0.81 32.2404 11.7204 11.6535 2.76976 1.64541 2.98477 1.46658 
81 0.82 31.8893 10.5938 11.7806 2.88533 2.13922 4.02756 0.462822 
82 0.83 35.2562 9.18272 13.4204 3.79432 3.20004 4.53938 1.11936 
83 0.84 31.0504 11.0886 11.0621 2.59709 2.69137 3.04651 0.564688 
84 0.85 31.3807 10.3266 11.9381 3.44532 1.39842 3.70561 0.566643 
85 0.86 33.8078 9.81767 12.3941 2.71628 2.76147 4.53381 1.5845 
86 0.87 34.1475 11.799 13.9157 3.861 2.06183 2.1939 0.316083 
87 0.88 38.3138 12.3626 15.1813 4.38528 2.89903 3.42608 0.059483 
88 0.89 39.4049 13.2369 14.9641 2.99446 2.23121 4.86099 1.11728 
89 0.9 36.323 11.8277 13.4649 3.54099 1.59918 5.74464 0.145548 
90 0.91 45.5334 14.4576 15.2556 5.13458 5.04043 4.75348 0.891622 
91 0.92 39.3707 11.2023 15.6353 3.27083 2.48695 5.29415 1.48108 
92 0.93 36.191 10.6556 11.3247 4.6255 1.78409 6.95051 0.85059 
93 0.94 47.4522 13.6324 15.6257 5.0339 4.9374 6.75982 1.46298 
94 0.95 41.9325 12.8047 14.901 6.37403 2.46662 4.35222 1.03404 
95 0.96 45.9869 14.9519 15.1415 5.63058 3.80917 5.6416 0.812093 
96 0.97 44.1918 12.5012 16.4871 5.44944 3.51479 5.92217 0.31711 
97 0.98 50.1347 13.6834 17.5436 5.77855 5.34806 7.4698 0.311233 
98 0.99 54.1542 16.75 17.466 6.67701 4.25795 7.5005 1.50281 
99 1 52.958 15.7391 18.2931 5.71034 3.43491 8.98103 0.799513 
